7435,6929,6927,6927,6929,6927,6929,6927,6929,6928,6928,6928,6929,6927,6927,6927,6928,6928,6927,6929,6927,6928,6928,6928,6929,6929,6929,6929,6929,7456
8459,6984,6985,6986,6987,6988,6989,6990,6991,6985,6986,6987,6988,6989,6990,6991,6985,6986,6987,6988,6989,6990,6991,6985,6986,6987,6988,6989,6992,8736
8459,7112,7113,7114,7115,7116,7117,7118,7119,7113,7114,7115,7116,7117,7118,7119,7113,7114,7115,7116,7117,7118,7119,7113,7114,7115,7116,7117,7120,8608
8459,7240,7241,7242,7243,7244,7245,7246,7247,7241,7242,7243,7244,7245,7246,7247,7241,7242,7243,7244,7245,7246,7247,7241,7242,7243,7244,7245,7248,8352
8331,6984,7369,7370,7371,7372,7373,7374,7375,7369,7370,7371,7372,7373,7374,7375,7369,7370,7371,7372,7373,7374,7375,7369,7370,7371,7372,7373,7376,8736
8459,7112,7497,7498,7499,7500,7501,7502,7503,7497,8590,7499,7500,7501,7502,7503,7497,7498,7499,7500,7501,7502,7503,7497,7498,7499,7500,7501,7504,8736
8715,7240,7625,7626,7627,7628,7629,7630,7631,7625,7626,7627,7628,7629,7630,7631,7625,7626,7627,7628,7629,7630,7631,7625,7626,7627,7628,7629,7632,8608
8587,7368,7753,7754,7755,7756,7757,7758,7759,7753,7754,7755,7756,7757,7758,8590,7753,7754,7755,7756,7757,7758,7759,7753,7754,7755,7756,7757,7760,8352
8331,7496,6985,6986,6987,6988,8591,8592,6991,6985,6986,6987,6988,6989,6990,6991,6985,6986,6987,8591,8591,8599,8599,8592,8599,8592,8596,8596,8596,8736
8331,7624,7113,7114,7115,7116,8720,8720,7119,7113,7114,7115,7116,8590,7118,7119,7113,7114,7115,8724,8723,8723,8727,8725,8725,8723,8726,8725,8724,8480
8587,7752,7241,7242,7243,7244,7245,7246,7247,7241,7242,7243,7244,7245,7246,7247,7241,7242,7243,7244,7245,8723,8725,8726,8727,8726,8726,8725,8724,8608
8715,8591,8591,8591,8592,7372,7373,7374,7375,7369,7370,7371,7372,7373,7374,7375,7369,7370,7371,7372,7373,7374,8725,8725,8726,8727,8723,8726,8727,8608
8331,6984,7497,7498,7499,7500,7501,7502,8596,8597,8596,8597,7500,7501,7502,7503,7497,7498,7499,7500,7501,7502,7503,7497,8727,8724,8726,8724,8726,8608
8459,7112,7625,7626,7627,7628,7629,7630,7631,7625,7626,7627,7628,7629,7630,7631,7625,7626,7627,7628,7629,7630,7631,7625,7626,8726,8727,8723,8725,8352
8459,7240,7753,7754,7755,7756,8596,8597,7759,7753,7754,7755,7756,7757,7758,7759,7753,7754,7755,7756,7757,7758,7759,7753,7754,7755,8725,8727,8725,8608
8971,8977,8976,8975,8976,8975,8976,8975,8976,8975,8977,8977,8975,8975,8975,8975,8977,8976,8977,8977,8977,8975,8975,8976,8976,8977,8977,8977,8976,8992
9099,9104,9105,9103,9106,9104,9103,9106,9106,9104,9106,9106,9104,9103,9105,9105,9104,9106,9105,9104,9106,9105,9103,9105,9104,9104,9105,9104,9104,9099
9099,9105,9106,9106,9106,9105,9105,9104,9105,9106,9104,9104,9105,9104,9103,9104,9103,9103,9104,9104,9104,9103,9105,9105,9106,9105,9104,9105,9099,9099
9099,9104,9105,9104,9106,9104,9106,9104,9103,9103,9106,9106,9105,9106,9106,9104,9104,9105,9105,9103,9106,9106,9103,9103,9105,9106,9104,9103,9099,9099
